,ticker,date,open,high,low,price,volume,oi
0,OQQ07,2007-06-01,64.7,65.05,63.7,64.84,2334,506
1,OQQ07,2007-06-04,64.63,65.92,64.48,65.65,2695,1208
2,OQQ07,2007-06-05,65.85,65.94,64.95,65.28,3134,1702
3,OQQ07,2007-06-06,65.79,66.31,65.09,66.17,2871,1403
4,OQQ07,2007-06-07,65.85,67.27,65.85,66.81,1632,1448
5,OQQ07,2007-06-08,66.22,66.4,64.45,64.58,1917,1381
6,OQQ07,2007-06-11,64.5,65.68,64.3,65.68,1203,1470
7,OQQ07,2007-06-12,65.4,65.59,64.72,65.05,815,1507
8,OQQ07,2007-06-13,65.09,66.12,64.52,65.72,1405,1580
9,OQQ07,2007-06-14,66.05,67.3,65.93,67.16,1379,1936
10,OQQ07,2007-06-15,66.96,67.25,66.31,66.99,1218,2159
11,OQQ07,2007-06-18,67.26,67.82,66.58,67.82,1444,2594
12,OQQ07,2007-06-19,67.75,67.81,67.24,67.42,1557,2781
13,OQQ07,2007-06-20,67.23,67.57,65.7,66.23,1575,3029
14,OQQ07,2007-06-21,66.57,67.61,66.11,66.29,1367,3279
15,OQQ07,2007-06-22,66.35,67.36,65.93,66.9,860,3373
16,OQQ07,2007-06-25,66.5,67.46,65.94,67.35,872,3538
17,OQQ07,2007-06-26,67.05,67.26,66.3,66.54,854,3640
18,OQQ07,2007-06-27,66.1,68.86,65.71,66.87,1075,3895
19,OQQ07,2007-06-28,66.9,67.29,65.55,65.87,423,4000
20,OQU07,2007-06-29,66.5,67.99,66.5,67.92,34,1772
21,OQU07,2007-07-02,67.69,69.08,67.37,69.08,412,1770
22,OQU07,2007-07-03,68.31,69.08,68.31,69.08,232,1792
23,OQU07,2007-07-05,68.5,69.96,68.44,69.7,410,1869
24,OQU07,2007-07-06,69.53,70.21,68.25,70.1,188,1857
25,OQU07,2007-07-09,69.46,70.46,69.2,70.08,733,1808
26,OQU07,2007-07-10,69.74,71.24,69.74,71.18,1009,1749
27,OQU07,2007-07-11,70.9,71.0,70.35,70.55,458,1736
28,OQU07,2007-07-12,70.3,71.41,69.95,70.64,710,1833
29,OQU07,2007-07-13,70.65,71.19,70.09,71.1,255,1894
30,OQU07,2007-07-16,71.21,71.29,69.92,70.35,490,1844
31,OQU07,2007-07-17,69.87,70.71,69.23,69.54,483,1979
32,OQU07,2007-07-18,69.79,70.99,69.48,70.89,285,2006
33,OQU07,2007-07-19,70.95,72.31,70.95,72.3,343,2063
34,OQU07,2007-07-20,72.19,73.0,72.18,72.55,128,2117
35,OQU07,2007-07-23,72.05,72.35,71.67,72.1,144,2181
36,OQU07,2007-07-24,71.82,72.07,70.25,70.25,124,2254
37,OQU07,2007-07-25,70.06,72.1,70.06,72.1,217,2387
38,OQU07,2007-07-26,72.87,72.87,70.35,70.35,255,2486
39,OQU07,2007-07-27,71.8,71.8,70.55,71.64,105,2490
40,OQU07,2007-07-30,70.45,70.45,69.0,69.47,308,2681
41,OQV07,2007-07-31,69.86,71.47,69.86,71.4,22,1261
42,OQV07,2007-08-01,71.94,72.06,70.3,70.3,105,1252
43,OQV07,2007-08-02,70.7,70.7,69.85,70.7,205,1342
44,OQV07,2007-08-03,70.66,70.85,69.6,69.6,87,1380
45,OQV07,2007-08-06,70.51,70.51,67.1,67.1,119,1422
46,OQV07,2007-08-07,66.9,67.65,66.85,67.65,214,1454
47,OQV07,2007-08-08,67.8,68.3,67.8,68.0,224,1498
48,OQV07,2007-08-09,67.6,67.89,67.55,67.72,103,1468
49,OQV07,2007-08-10,67.2,67.2,67.0,67.1,91,1558
50,OQV07,2007-08-13,67.79,67.88,66.6,67.3,147,1663
51,OQV07,2007-08-14,67.3,67.4,67.15,67.15,89,1738
52,OQV07,2007-08-15,67.92,68.3,67.9,68.18,74,1748
53,OQV07,2007-08-16,68.15,68.3,66.3,66.3,108,1778
54,OQV07,2007-08-17,68.72,68.72,68.2,68.4,68,1826
55,OQV07,2007-08-20,68.6,68.6,67.85,67.85,134,1887
56,OQV07,2007-08-21,68.3,68.3,66.5,66.5,121,1973
57,OQV07,2007-08-22,67.35,67.45,67.01,67.01,94,1991
58,OQV07,2007-08-23,67.25,67.45,67.25,67.3,30,2008
59,OQV07,2007-08-24,67.8,67.8,67.4,67.8,139,2121
60,OQV07,2007-08-27,68.15,68.72,68.02,68.72,24,2142
61,OQV07,2007-08-28,68.47,68.5,67.46,67.99,155,2229
